"fw","neg","pos","p","source","chargeDensity","phii","U:0","U:1","U:2","force:0","force:1","force:2","elec:0","elec:1","elec:2","Points:0","Points:1","Points:2"
4.4529,0.000206257,0.000982854,-2.20327e-05,0.00138014,0.000776597,51.7578,-0.00154544,0.000146144,0,-0.000434813,-0.0525774,0,-830.815,-98623.7,0,0.0075,0.0005,0.00125
4.46679,0.000206385,0.000983419,-2.18388e-05,0.00138535,0.000777034,51.9641,-0.00154057,0.000138256,0,-0.0004288,-0.0528265,0,-818.912,-99035.5,0,0.00775,0.0005,0.00125
4.48048,0.000206585,0.000983971,-2.16296e-05,0.00139031,0.000777385,52.1672,-0.00152772,0.000129354,0,-0.000421126,-0.0530667,0,-803.942,-99441,0,0.008,0.0005,0.00125
4.49392,0.000206815,0.000984515,-2.14066e-05,0.00139511,0.0007777,52.3661,-0.00150644,0.00011941,0,-0.000411761,-0.0533003,0,-785.786,-99838.8,0,0.00825,0.0005,0.00125
4.50705,0.000207061,0.00098505,-2.11713e-05,0.00139975,0.000777989,52.5601,-0.00147654,0.000108749,0,-0.000400624,-0.0535273,0,-764.284,-100227,0,0.0085,0.0005,0.00125
4.5198,0.000207317,0.000985577,-2.09262e-05,0.0014042,0.000778259,52.7482,-0.00143793,9.76503e-05,0,-0.000387651,-0.053747,0,-739.312,-100604,0,0.00875,0.0005,0.00125
4.53211,0.00020758,0.000986094,-2.06739e-05,0.00140847,0.000778515,52.9297,-0.00139063,8.62978e-05,0,-0.000372799,-0.0539587,0,-710.786,-100967,0,0.009,0.0005,0.00125
4.54393,0.000207845,0.000986602,-2.04174e-05,0.00141252,0.000778758,53.1036,-0.00133478,7.48403e-05,0,-0.000356046,-0.0541617,0,-678.659,-101316,0,0.00925,0.0005,0.00125
4.55518,0.000208108,0.000987097,-2.016e-05,0.00141636,0.000778988,53.2691,-0.00127056,6.34086e-05,0,-0.000337389,-0.0543549,0,-642.932,-101647,0,0.0095,0.0005,0.00125
4.5658,0.000208368,0.000987572,-1.9905e-05,0.00141995,0.000779206,53.4251,-0.00119826,5.21214e-05,0,-0.000316853,-0.0545372,0,-603.654,-101960,0,0.00975,0.0005,0.00125
4.57574,0.000208621,0.000988028,-1.96559e-05,0.00142328,0.000779408,53.5709,-0.00111819,4.10915e-05,0,-0.000294491,-0.0547077,0,-560.923,-102252,0,0.01,0.0005,0.00125
4.02616,0.000280687,0.000929373,-3.34801e-05,0.00106882,0.000648685,69.3162,-2.90574e-05,0.000181276,0,-5.0874e-05,-0.0381987,0,-115.519,-85772.2,0,0.00025,0.00075,0.00125
4.02551,0.00028036,0.000926188,-3.34315e-05,0.00107134,0.000645828,69.3007,0,0,0,-2.71437e-05,-0.0380226,0,-62.0545,-85752.4,0,0,0.00075,0.00125
4.02793,0.000280974,0.000933835,-3.35561e-05,0.00106601,0.000652861,69.3584,-9.78841e-05,0.000226829,0,-9.29728e-05,-0.0384673,0,-210.062,-85826,0,0.0005,0.00075,0.00125
4.03055,0.000280812,0.000935678,-3.36027e-05,0.00106624,0.000654866,69.4212,-0.000192846,0.000234469,0,-0.00012729,-0.0386208,0,-286.78,-85905.9,0,0.00075,0.00075,0.00125
4.03393,0.000280596,0.000936584,-3.36426e-05,0.00106752,0.000655989,69.5018,-0.000290483,0.000234006,0,-0.000158131,-0.0387333,0,-355.691,-86008.9,0,0.001,0.00075,0.00125
4.03802,0.000280432,0.000937225,-3.36855e-05,0.00106916,0.000656793,69.599,-0.000385671,0.000232319,0,-0.000187432,-0.038837,0,-421.109,-86133.8,0,0.00125,0.00075,0.00125
4.04281,0.000280303,0.000937834,-3.37322e-05,0.00107103,0.000657531,69.7123,-0.000478835,0.00023073,0,-0.000215951,-0.0389465,0,-484.655,-86279.9,0,0.0015,0.00075,0.00125
4.04828,0.00028019,0.000938481,-3.37829e-05,0.00107313,0.000658291,69.8413,-0.00057049,0.000229349,0,-0.000243905,-0.0390667,0,-546.77,-86446.6,0,0.00175,0.00075,0.00125
4.05442,0.000280084,0.000939183,-3.38378e-05,0.00107545,0.000659099,69.9857,-0.000660989,0.000228079,0,-0.000271305,-0.0391991,0,-607.456,-86633.5,0,0.002,0.00075,0.00125
4.0612,0.000279978,0.000939936,-3.38966e-05,0.00107801,0.000659959,70.1451,-0.000750559,0.00022683,0,-0.000298092,-0.0393437,0,-666.568,-86840.2,0,0.00225,0.00075,0.00125
4.06862,0.00027987,0.000940734,-3.3959e-05,0.0010808,0.000660865,70.319,-0.000839283,0.000225533,0,-0.000324183,-0.0395,0,-723.922,-87066,0,0.0025,0.00075,0.00125
4.07666,0.000279759,0.000941565,-3.40241e-05,0.00108384,0.000661806,70.507,-0.000927117,0.000224125,0,-0.000349492,-0.0396672,0,-779.331,-87310.6,0,0.00275,0.00075,0.00125
4.08529,0.000279648,0.000942422,-3.40911e-05,0.00108711,0.000662775,70.7087,-0.00101392,0.000222527,0,-0.000373932,-0.0398445,0,-832.615,-87573.1,0,0.003,0.00075,0.00125
4.0945,0.000279536,0.000943296,-3.4159e-05,0.00109061,0.000663759,70.9234,-0.00109947,0.000220648,0,-0.00039742,-0.0400311,0,-883.609,-87853.1,0,0.00325,0.00075,0.00125
4.10426,0.000279429,0.000944178,-3.42267e-05,0.00109432,0.00066475,71.1505,-0.00118348,0.000218378,0,-0.000419877,-0.0402259,0,-932.156,-88149.6,0,0.0035,0.00075,0.00125
4.11455,0.000279326,0.000945063,-3.42928e-05,0.00109825,0.000665736,71.3895,-0.0012656,0.000215601,0,-0.000441224,-0.0404282,0,-978.107,-88462.1,0,0.00375,0.00075,0.00125
4.12534,0.000279233,0.000945943,-3.4356e-05,0.00110236,0.00066671,71.6395,-0.00134543,0.000212195,0,-0.000461385,-0.040637,0,-1021.32,-88789.5,0,0.004,0.00075,0.00125
4.13661,0.00027915,0.000946814,-3.44149e-05,0.00110666,0.000667664,71.9001,-0.00142248,0.00020804,0,-0.00048028,-0.0408515,0,-1061.64,-89131.2,0,0.00425,0.00075,0.00125
4.14832,0.000279082,0.000947673,-3.4468e-05,0.00111111,0.000668591,72.1704,-0.00149627,0.000203023,0,-0.000497829,-0.0410709,0,-1098.92,-89486.1,0,0.0045,0.00075,0.00125
4.16045,0.00027903,0.000948516,-3.45135e-05,0.00111572,0.000669486,72.4496,-0.00156624,0.000197045,0,-0.000513948,-0.0412944,0,-1133.01,-89853.3,0,0.00475,0.00075,0.00125
